Speaker,Start,End,Text
SPEAKER_01,0.0,6.0, So welcome to this interview today. I'm sitting here with Natalie and we're going to have
SPEAKER_01,6.0,12.6, just a little interview with two questions. My name is Lars and I'm handing over to my
SPEAKER_01,12.6,14.5, interviewee to introduce yourself.
SPEAKER_00,14.5,20.0," Okay, thank you. My name is Natalie. I'm an employee at GAG and we are testing this new"
SPEAKER_00,20.0,21.0, device.
SPEAKER_01,21.0,29.0," Okay, thank you. My first question to you is when is your next field trip?"
SPEAKER_00,29.0,34.0, That is a great question Lars. I am not sure. We are hoping for me.
SPEAKER_01,34.0,39.0, Can you open for me? When was your last field trip?
SPEAKER_00,39.0,41.0, I last went in July.
SPEAKER_01,41.0,44.0," Okay, thank you very much for the interview."
